id	title	old_field	label	field	ig_winner	field_num
1875	Chronic ethanol consumption selectively stimulates rectal cell proliferation in the rat.	medicine	0	medicine	0	3
3397	A Wide-Band High-Gain Compact SIS Receiver Utilizing a 300- $\mu$W SiGe IF LNA	exact_eng	0	exact_eng	0	2
1843	The Clinical Efficacy and Safety of Ureteroscopic Laser Papillotomy to Treat Intraductal Papillary Calculi Associated With Medullary Sponge Kidney.	medicine	0	medicine	0	3
1274	Sloth Hair as a Novel Source of Fungi with Potent Anti-Parasitic, Anti-Cancer and Anti-Bacterial Bioactivity	biology	1	bio_env	0	1
2306	Investigation of behavioural interactions between lumpfish (Cyclopterus lumpus) and goldsinny wrasse (Ctenolabrus rupestris) under controlled conditions	bio_env	0	bio_env	0	1
2774	Bilateral symmetry embedded in noise is detected accurately only at fixation	neuroscience	0	neuroscience	0	4
626	Why Henry III of Navarre's Hair Probably did Not Turn White Overnight	medicine	1	medicine	0	3
2345	Genetics of esterase isoenzymes in Malus	bio_env	0	bio_env	0	1
809	Milk intake and risk of mortality and fractures in women and men: cohort studies	medicine	1	medicine	0	3
2536	A decision-support system for business acquisitions	neuroscience	0	neuroscience	0	4
2463	Influence of group size on reproductive success of female ring-tailed lemurs: distinguishing between IGFC and PFC hypotheses	bio_env	0	bio_env	0	1
2562	Glial involvement in diffuse Lewy body disease	neuroscience	0	neuroscience	0	4
2030	Pancreatic transplantation: Why, when and who?	medicine	0	medicine	0	3
1699	Blueberry Earth	physics	1	exact_eng	0	2
2084	Can modulating corticotropin releasing hormone receptors alter visceral sensitivity?	medicine	0	medicine	0	3
1140	Eye Fixations Indicate Men's Preference for Female Breasts or Buttocks	psychology	1	neuroscience	0	4
2038	Novobiocin-salmonella-shigella agar for isolation ofSalmonella spp.	medicine	0	medicine	0	3
3048	Basis Functions for Object-Centered Representations	neuroscience	0	neuroscience	0	4
1885	“Guidance of macular laser photocoagulation: is fluorescein angiography still needed?”	medicine	0	medicine	0	3
270	The Psychobiology of the Near Miss in Fruit Machine Gambling.	psychology	1	neuroscience	0	4
607	Genre Categorization and Its Effect on Preference for Fiction Books.	humanities	1	neuroscience	0	4
1809	Diagnosis of SLAP lesions with Grashey-view arthrography	medicine	0	medicine	0	3
1099	Breakdancing: a new risk factor for scarring hair loss	medicine	1	medicine	0	3
993	Batting last as a home advantage factor in men's NCAA tournament baseball	psychology	1	neuroscience	0	4
3057	Personalized treatment of uveal melanoma	neuroscience	0	neuroscience	0	4
1988	Production of pheromone by hairpencil glands of males obtained from interspecific hybridization betweenHeliothis virescens andH. subflexa (Lepidoptera: Noctuidae)	medicine	0	medicine	0	3
2391	Non-parental infanticide in a dense population of the Black-billed Magpie (Pica pica)	bio_env	0	bio_env	0	1
1322	Real Men Wear Kilts: The Anecdotal Evidence that Wearing a Scottish Kilt Has Influence on Reproductive Potential - How Much Is True?	medicine	1	medicine	0	3
2493	On assessment of the conservation effectiveness of Red Data insect species in the territories of a nature reserve and a nature sanctuary within the same reservation area (by the example of Voronezh Biosphere Nature Reservation)	bio_env	0	bio_env	0	1
125	What isfor Dinner? First Report of Human Blood in the Diet of the Hairy-Legged Vampire Bat Diphylla ecaudata	biology	1	bio_env	1	1
512	A Study of the Influence of Ageing on the Mechanical Properties of Cheddar Cheese.	chemistry	1	bio_env	0	1
2987	Transcranial Focused Ultrasound Modulates Intrinsic and Evoked EEG Dynamics	neuroscience	0	neuroscience	0	4
1482	Unusual Trivial Trauma May End With Extrusion of a Well-Functioning Penile Prosthesis: A Case Report.	medicine	1	medicine	0	3
3367	Enhanced healthcare personnel rostering solution using mobile technologies	exact_eng	0	exact_eng	0	2
768	Longevity of major league baseball players	psychology	1	neuroscience	0	4
6	Ultrasonic Velocity in Cheddar Cheese as Affected by Temperature	physics	1	exact_eng	1	2
292	Miniature Crime Scenes: A Novel Use in Crime Seminars	humanities	1	neuroscience	0	4
302	A Preliminary Report on the Measurements of About 1000 Students at Ann Arbor, Michigan	medicine	1	medicine	0	3
472	Fatal laughter.	medicine	1	medicine	0	3
2742	The ISCB Student Council Internship Program: Expanding computational biology capacity worldwide	neuroscience	0	neuroscience	0	4
2107	Caprimolgorchis jhai sp. nov. (Trematoda: Lecithodendriidae), an intestinal parasite of the Egyptian house sparrow	medicine	0	medicine	0	3
799	Caring for umpires, officials, and referees.	psychology	1	neuroscience	0	4
242	Digit Ratios Predict Polygyny in Early Apes, Ardipithecus, Neanderthals and early Modern Humans But Not in Australopithecus	biology	1	bio_env	0	1
3014	Pannexin-1 channels in epilepsy	neuroscience	0	neuroscience	0	4
2377	Repeated copulations benefit of the female inLethocerus deyrollei vuillefroy (Heteroptera: Belostomatidae)	bio_env	0	bio_env	0	1
3049	The psychophysics of visual search	neuroscience	0	neuroscience	0	4
